annee,annee_norm,ATC1,sous_categorie_code,code_substance_active,substance_active,categorie_therapeutique,boites_vendues,montant_rembourse_euros,nb_presentations_distinctes,log_boites,log_montant,nb_ruptures,nb_tensions,nb_evenements,duree_moy_jours,duree_max_jours,nb_ruptures_longues,ratio_evenements,categorie_en_rupture,categorie_en_tension,risque_rupture
2021,0,A,A01,A01AA01,SODIUM FLUORURE,SYSTEME DIGESTIF ET METABOLISME,41176,21503.32,4,10.62563512702953,9.976009124164536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A01,A01AA02,SODIUM MONOFLUOROPHOSPHATE,SYSTEME DIGESTIF ET METABOLISME,64370,66477.73,1,11.07241850011319,11.104637325857084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A01,A01AA51,SODIUM FLUORURE EN ASSOCIATION,SYSTEME DIGESTIF ET METABOLISME,314528,72578.93,3,12.65883156072848,11.192443716313578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A01,A01AB03,CHLORHEXIDINE,SYSTEME DIGESTIF ET METABOLISME,7690998,435891.95,6,15.855561242017078,12.98515196466142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A01,A01AB09,MICONAZOLE,SYSTEME DIGESTIF ET METABOLISME,557237,199117.87,3,13.230747716695925,12.201657262055503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A01,A01AB11,DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES),SYSTEME DIGESTIF ET METABOLISME,13465764,618957.76,8,16.41566109657611,13.335793925860854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A01,A01AD11,DIVERS STOMATO LOCAL (SAUF ANTIINFECTIEUX OU ANTISEPTIQUES),SYSTEME DIGESTIF ET METABOLISME,244271,53832.65,1,12.406037637496723,10.893654015312379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A02,A02AB01,ALUMINIUM HYDROXYDE,SYSTEME DIGESTIF ET METABOLISME,182807,28698.23,1,12.116191700720734,10.264625572119508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A02,A02AB03,ALUMINIUM PHOSPHATE,SYSTEME DIGESTIF ET METABOLISME,63472,26259.52,2,11.058369897608577,10.175821949640929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A02,A02AD01,ASSOCIATIONS DE SELS,SYSTEME DIGESTIF ET METABOLISME,1617556,157906.1,4,14.296427544303526,11.969762164400658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A02,A02AX,ANTIACIDES : AUTRES ASSOCIATIONS,SYSTEME DIGESTIF ET METABOLISME,906334,125138.71,3,13.717164273856172,11.737186072145162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A02,A02BA01,CIMETIDINE,SYSTEME DIGESTIF ET METABOLISME,21291,34586.86,5,9.966086694292647,10.451258032425546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A02,A02BA02,RANITIDINE,SYSTEME DIGESTIF ET METABOLISME,348,963.23,9,5.855071922202427,6.8713298553642845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A02,A02BA03,FAMOTIDINE,SYSTEME DIGESTIF ET METABOLISME,127984,92408.96,2,11.759668348534763,11.433990044028405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A02,A02BA04,NIZATIDINE,SYSTEME DIGESTIF ET METABOLISME,27,293.5,1,3.332204510175204,5.685279003091641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A02,A02BC01,OMEPRAZOLE,SYSTEME DIGESTIF ET METABOLISME,18806500,3792489.1,119,16.749713165898214,15.148533379786123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A02,A02BC02,PANTOPRAZOLE,SYSTEME DIGESTIF ET METABOLISME,18138785,3581748.19,100,16.713563076486732,15.091361839609156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A02,A02BC03,LANSOPRAZOLE,SYSTEME DIGESTIF ET METABOLISME,8306023,2638485.96,116,15.932491592646148,14.785716189613638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A02,A02BC04,RABEPRAZOLE,SYSTEME DIGESTIF ET METABOLISME,4568721,1234205.56,59,15.334744073870475,14.025938860038902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A02,A02BC05,ESOMEPRAZOLE,SYSTEME DIGESTIF ET METABOLISME,29326718,5291363.37,98,17.19400956971162,15.48158668551398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A02,A02BD08,"BISMUTH POTASSIQUE, TETRACYCLINE ET METRONIDAZOLE",SYSTEME DIGESTIF ET METABOLISME,143445,81499.33,1,11.8737139367405,11.308362348300511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A02,A02BX13,ALGINIQUE ACIDE EN ASSOCIATION AVEC ANTIACIDES,SYSTEME DIGESTIF ET METABOLISME,15973096,735003.85,17,16.586416427501415,13.507632376812658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A03,A03AA04,MEBEVERINE,SYSTEME DIGESTIF ET METABOLISME,201708,71114.3,5,12.214581343670675,11.172057782514731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A03,A03AA05,TRIMEBUTINE,SYSTEME DIGESTIF ET METABOLISME,6745877,1077042.0,32,15.724442209649213,13.889729881061108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A03,A03AX04,PINAVERIUM,SYSTEME DIGESTIF ET METABOLISME,928656,256525.42,9,13.741494735410802,12.454986940237943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A03,A03AX12,PHLOROGLUCINOL,SYSTEME DIGESTIF ET METABOLISME,25397201,928537.06,17,17.05014956844067,13.741366649780245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A03,A03AX58,ALVERINE EN ASSOCIATION,SYSTEME DIGESTIF ET METABOLISME,8676723,149681.31,1,15.976154596041084,11.916270393752455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A03,A03BB01,BUTYLSCOPOLAMINE,SYSTEME DIGESTIF ET METABOLISME,14419,14218.65,1,9.57637141083894,9.562380089833505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A03,A03ED,ANTISPASMODIQUES EN ASSOCIATION AVEC D'AUTRES MEDICAMENTS,SYSTEME DIGESTIF ET METABOLISME,2226171,74771.77,1,14.615794076475865,11.222209060251702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A03,A03FA01,METOCLOPRAMIDE,SYSTEME DIGESTIF ET METABOLISME,1702197,425767.76,8,14.347430915074243,12.96165166097167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A03,A03FA03,DOMPERIDONE,SYSTEME DIGESTIF ET METABOLISME,1588185,373663.18,18,14.278103042393692,12.83111275859152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A03,A03FA05,ALIZAPRIDE,SYSTEME DIGESTIF ET METABOLISME,35917,25890.1,1,10.488993841578681,10.161654559289907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A04,A04AA01,ONDANSETRON,SYSTEME DIGESTIF ET METABOLISME,1282378,1297560.57,57,14.064227504597548,14.075997345690167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2021,0,A,A04,A04AA02,GRANISETRON,SYSTEME DIGESTIF ET METABOLISME,112278,18885.85,3,11.628742124130493,9.84622119169364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
