index,CIP13_court,CIP13_long,numero_dossier,type_rupture,date_debut,date_fin,col7,url_detail,nom_rupture,nom_marque,idx,CIS_matched,nom_matched,methode,CIS,code_ATC
0,65338028,,1,Rupture de stock,17/02/2026,09/06/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/clomid-50-mg-comprime-clomifene-citrate-de,clomid 50 mg comprime clomifene citrate de,clomid,0,65338028.0,"CLOMID 50 mg, comprimé",nom_marque_exact,,
1,63522848,,2,Tension d'approvisionnement,13/05/2026,08/06/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ropinirole-eg-2-mg-comprime-pellicule-ropinirole-chlorhydrate-de,ropinirole eg 2 mg comprime pellicule ropinirole chlorhydrate de,ropinirole eg,1,63522848.0,"ROPINIROLE EG 2 mg, comprimé pelliculé",nom_marque_exact,63522848.0,N04BC04
2,62907143,3400955101369.0,1,Rupture de stock,29/05/2026,04/06/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/primaquine-sanofi-15-mg-comprime-pellicule-flacon-de-100-comprimes-avec-kit-de-reconditionnement-primaquine-diphosphate-de,primaquine sanofi 15 mg comprime pellicule flacon de 100 comprimes avec kit de reconditionnement primaquine diphosphate de,primaquine sanofi,2,62907143.0,"PRIMAQUINE SANOFI 15 mg, comprimé pelliculé",nom_marque_exact,,
3,61436304,,1,Rupture de stock,14/04/2026,01/06/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tenormine-5-mg-10-ml-solution-injectable-iv-en-ampoule-atenolol,tenormine 5 mg 10 ml solution injectable iv en ampoule atenolol,tenormine,3,61436304.0,"TENORMINE 5 mg/10 ml, solution injectable IV en ampoule",nom_marque_exact,61436304.0,C07AB03
4,63369053,,4,Remise à disposition,29/05/2026,29/05/2026,29/05/2026,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/parlodel-2-5-mg-comprime-secable-bromocriptine-mesilate-de,parlodel 2 5 mg comprime secable bromocriptine mesilate de,parlodel,4,64141483.0,"PARLODEL 5 mg, gélule",nom_marque_exact,64141483.0,N04BC01
5,67122698,,2,Tension d'approvisionnement,27/11/2025,29/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/specialites-a-base-de-propranolol-40-mg-comprime-chlorhydrate-de-propranolol,specialites a base de propranolol 40 mg comprime chlorhydrate de propranolol,propranolol,5,65135519.0,"PROPRANOLOL ACCORD 40 mg, comprimé pelliculé",premier_mot,65135519.0,C07AA05
6,63003440,,2,Tension d'approvisionnement,27/11/2025,29/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/specialites-a-base-de-propranolol-40-mg-comprime-chlorhydrate-de-propranolol,specialites a base de propranolol 40 mg comprime chlorhydrate de propranolol,propranolol,6,65135519.0,"PROPRANOLOL ACCORD 40 mg, comprimé pelliculé",premier_mot,65135519.0,C07AA05
7,67954061,,2,Tension d'approvisionnement,27/11/2025,29/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/specialites-a-base-de-propranolol-40-mg-comprime-chlorhydrate-de-propranolol,specialites a base de propranolol 40 mg comprime chlorhydrate de propranolol,propranolol,7,65135519.0,"PROPRANOLOL ACCORD 40 mg, comprimé pelliculé",premier_mot,65135519.0,C07AA05
8,63003440,,2,Tension d'approvisionnement,27/11/2025,29/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/specialites-a-base-de-propranolol-40-mg-comprime-chlorhydrate-de-propranolol,specialites a base de propranolol 40 mg comprime chlorhydrate de propranolol,propranolol,8,65135519.0,"PROPRANOLOL ACCORD 40 mg, comprimé pelliculé",premier_mot,65135519.0,C07AA05
9,67954061,,2,Tension d'approvisionnement,27/11/2025,29/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/specialites-a-base-de-propranolol-40-mg-comprime-chlorhydrate-de-propranolol,specialites a base de propranolol 40 mg comprime chlorhydrate de propranolol,propranolol,9,65135519.0,"PROPRANOLOL ACCORD 40 mg, comprimé pelliculé",premier_mot,65135519.0,C07AA05
10,66415335,,2,Tension d'approvisionnement,27/11/2025,29/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/specialites-a-base-de-propranolol-40-mg-comprime-chlorhydrate-de-propranolol,specialites a base de propranolol 40 mg comprime chlorhydrate de propranolol,propranolol,10,65135519.0,"PROPRANOLOL ACCORD 40 mg, comprimé pelliculé",premier_mot,65135519.0,C07AA05
11,66415335,,2,Tension d'approvisionnement,27/11/2025,29/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/specialites-a-base-de-propranolol-40-mg-comprime-chlorhydrate-de-propranolol,specialites a base de propranolol 40 mg comprime chlorhydrate de propranolol,propranolol,11,65135519.0,"PROPRANOLOL ACCORD 40 mg, comprimé pelliculé",premier_mot,65135519.0,C07AA05
12,67122698,,2,Tension d'approvisionnement,27/11/2025,29/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/specialites-a-base-de-propranolol-40-mg-comprime-chlorhydrate-de-propranolol,specialites a base de propranolol 40 mg comprime chlorhydrate de propranolol,propranolol,12,65135519.0,"PROPRANOLOL ACCORD 40 mg, comprimé pelliculé",premier_mot,65135519.0,C07AA05
13,65135519,,2,Tension d'approvisionnement,27/11/2025,29/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/specialites-a-base-de-propranolol-40-mg-comprime-chlorhydrate-de-propranolol,specialites a base de propranolol 40 mg comprime chlorhydrate de propranolol,propranolol,13,65135519.0,"PROPRANOLOL ACCORD 40 mg, comprimé pelliculé",premier_mot,65135519.0,C07AA05
14,65135519,,2,Tension d'approvisionnement,27/11/2025,29/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/specialites-a-base-de-propranolol-40-mg-comprime-chlorhydrate-de-propranolol,specialites a base de propranolol 40 mg comprime chlorhydrate de propranolol,propranolol,14,65135519.0,"PROPRANOLOL ACCORD 40 mg, comprimé pelliculé",premier_mot,65135519.0,C07AA05
15,64699367,,4,Remise à disposition,04/05/2026,28/05/2026,04/05/2026,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/extencilline-2-4-mui-poudre-et-solvant-pour-suspension-injectable-im-benzathine-benzylpenicilline,extencilline 2 4 mui poudre et solvant pour suspension injectable im benzathine benzylpenicilline,extencilline,15,64615821.0,"EXTENCILLINE 1,2 MUI, poudre et solvant pour suspension injectable IM",nom_marque_exact,64615821.0,J01CE08
16,64615821,,4,Remise à disposition,04/05/2026,28/05/2026,04/05/2026,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/extencilline-1-2-mui-poudre-et-solvant-pour-suspension-injectable-im-benzathine-benzylpenicilline,extencilline 1 2 mui poudre et solvant pour suspension injectable im benzathine benzylpenicilline,extencilline,16,64615821.0,"EXTENCILLINE 1,2 MUI, poudre et solvant pour suspension injectable IM",nom_marque_exact,64615821.0,J01CE08
